CMDLINE python3 app.py
MEM 0.558594 1670554630.3277
MEM 21.261719 1670554630.4280
MEM 31.554688 1670554630.5284
MEM 40.503906 1670554630.6287
MEM 56.132812 1670554630.7290
MEM 60.601562 1670554630.8294
MEM 65.160156 1670554630.9298
MEM 86.835938 1670554631.0302
MEM 94.386719 1670554631.1305
MEM 98.648438 1670554631.2309
MEM 101.738281 1670554631.3314
MEM 102.253906 1670554631.4317
MEM 112.609375 1670554631.5320
MEM 112.609375 1670554631.6323
MEM 114.273438 1670554631.7326
MEM 117.105469 1670554631.8329
MEM 117.105469 1670554631.9334
MEM 114.417969 1670554632.0338
MEM 118.796875 1670554632.1341
MEM 118.796875 1670554632.2344
MEM 118.796875 1670554632.3347
MEM 118.796875 1670554632.4351
MEM 118.796875 1670554632.5354
MEM 118.796875 1670554632.6359
MEM 118.796875 1670554632.7362
MEM 118.796875 1670554632.8365
MEM 118.796875 1670554632.9368
MEM 118.796875 1670554633.0371
MEM 118.796875 1670554633.1374
MEM 118.796875 1670554633.2377
MEM 118.796875 1670554633.3380
MEM 118.796875 1670554633.4383
MEM 118.796875 1670554633.5386
MEM 118.796875 1670554633.6390
MEM 118.796875 1670554633.7393
MEM 120.343750 1670554633.8396
MEM 117.378906 1670554633.9399
MEM 117.378906 1670554634.0403
MEM 120.472656 1670554634.1406
MEM 118.957031 1670554634.2409
MEM 118.957031 1670554634.3412
MEM 118.957031 1670554634.4416
MEM 120.503906 1670554634.5419
MEM 117.441406 1670554634.6422
MEM 118.988281 1670554634.7424
MEM 118.988281 1670554634.8427
MEM 118.988281 1670554634.9430
MEM 118.988281 1670554635.0434
MEM 118.988281 1670554635.1437
MEM 118.988281 1670554635.2440
MEM 118.988281 1670554635.3444
MEM 118.988281 1670554635.4448
MEM 118.988281 1670554635.5451
MEM 118.988281 1670554635.6454
MEM 118.988281 1670554635.7457
MEM 118.988281 1670554635.8460
MEM 114.710938 1670554635.9463
MEM 119.089844 1670554636.0467
MEM 119.089844 1670554636.1471
MEM 119.089844 1670554636.2474
MEM 119.089844 1670554636.3477
MEM 119.089844 1670554636.4480
MEM 119.089844 1670554636.5483
MEM 119.089844 1670554636.6487
MEM 119.089844 1670554636.7490
MEM 119.089844 1670554636.8494
MEM 119.089844 1670554636.9497
MEM 119.089844 1670554637.0500
MEM 119.089844 1670554637.1503
MEM 119.089844 1670554637.2506
MEM 119.089844 1670554637.3509
MEM 119.089844 1670554637.4513
MEM 119.089844 1670554637.5516
MEM 114.843750 1670554637.6519
MEM 119.222656 1670554637.7521
MEM 119.222656 1670554637.8524
MEM 119.222656 1670554637.9527
MEM 119.222656 1670554638.0531
MEM 119.222656 1670554638.1534
MEM 119.222656 1670554638.2537
MEM 119.222656 1670554638.3541
MEM 119.222656 1670554638.4544
MEM 119.222656 1670554638.5547
MEM 119.222656 1670554638.6551
MEM 119.222656 1670554638.7554
MEM 119.222656 1670554638.8557
MEM 119.222656 1670554638.9561
MEM 119.222656 1670554639.0564
MEM 119.222656 1670554639.1568
MEM 119.222656 1670554639.2571
MEM 119.222656 1670554639.3574
MEM 119.222656 1670554639.4577
MEM 119.222656 1670554639.5581
MEM 119.222656 1670554639.6584
MEM 119.222656 1670554639.7587
MEM 119.480469 1670554639.8590
MEM 120.769531 1670554639.9593
MEM 115.109375 1670554640.0597
MEM 117.941406 1670554640.1600
MEM 117.941406 1670554640.2604
MEM 117.941406 1670554640.3607
MEM 119.488281 1670554640.4611
MEM 119.488281 1670554640.5615
MEM 119.488281 1670554640.6618
MEM 119.488281 1670554640.7621
MEM 119.488281 1670554640.8624
MEM 119.488281 1670554640.9627
MEM 119.488281 1670554641.0631
MEM 119.488281 1670554641.1634
MEM 119.488281 1670554641.2638
MEM 119.488281 1670554641.3641
MEM 119.488281 1670554641.4646
MEM 119.488281 1670554641.5651
MEM 119.488281 1670554641.6653
MEM 119.488281 1670554641.7656
MEM 119.488281 1670554641.8659
MEM 119.488281 1670554641.9662
MEM 121.035156 1670554642.0665
MEM 115.277344 1670554642.1668
MEM 118.109375 1670554642.2671
MEM 118.109375 1670554642.3674
MEM 119.656250 1670554642.4677
MEM 119.656250 1670554642.5680
MEM 119.656250 1670554642.6689
MEM 119.656250 1670554642.7693
MEM 119.656250 1670554642.8697
MEM 119.656250 1670554642.9701
MEM 119.656250 1670554643.0704
MEM 119.656250 1670554643.1707
MEM 119.656250 1670554643.2711
MEM 121.203125 1670554643.3714
MEM 118.210938 1670554643.4718
MEM 118.210938 1670554643.5721
MEM 118.210938 1670554643.6725
MEM 118.210938 1670554643.7728
MEM 118.210938 1670554643.8732
MEM 118.210938 1670554643.9735
MEM 118.210938 1670554644.0739
MEM 118.210938 1670554644.1742
MEM 118.210938 1670554644.2745
MEM 118.210938 1670554644.3749
MEM 119.757812 1670554644.4752
MEM 119.757812 1670554644.5755
MEM 119.757812 1670554644.6758
MEM 119.757812 1670554644.7761
MEM 119.757812 1670554644.8764
MEM 119.757812 1670554644.9768
MEM 119.757812 1670554645.0771
MEM 119.757812 1670554645.1774
MEM 119.757812 1670554645.2777
MEM 119.757812 1670554645.3781
MEM 119.757812 1670554645.4784
MEM 119.757812 1670554645.5787
MEM 120.015625 1670554645.6791
MEM 120.015625 1670554645.7794
MEM 120.015625 1670554645.8797
MEM 120.015625 1670554645.9800
MEM 120.015625 1670554646.0804
MEM 120.015625 1670554646.1807
MEM 120.015625 1670554646.2811
MEM 120.015625 1670554646.3814
MEM 120.015625 1670554646.4817
MEM 120.015625 1670554646.5820
MEM 120.015625 1670554646.6824
MEM 120.015625 1670554646.7829
MEM 120.015625 1670554646.8833
MEM 120.015625 1670554646.9837
MEM 120.015625 1670554647.0840
MEM 120.015625 1670554647.1843
MEM 120.015625 1670554647.2846
MEM 120.015625 1670554647.3849
MEM 120.015625 1670554647.4852
MEM 120.015625 1670554647.5855
MEM 117.535156 1670554647.6858
MEM 117.535156 1670554647.7861
MEM 117.535156 1670554647.8864
MEM 117.535156 1670554647.9867
MEM 117.535156 1670554648.0870
MEM 117.535156 1670554648.1874
MEM 117.535156 1670554648.2877
MEM 117.535156 1670554648.3881
MEM 117.535156 1670554648.4884
MEM 117.535156 1670554648.5887
MEM 117.535156 1670554648.6890
MEM 117.535156 1670554648.7914
MEM 117.535156 1670554648.8917
MEM 117.535156 1670554648.9921
MEM 117.535156 1670554649.0924
MEM 117.535156 1670554649.1927
MEM 117.535156 1670554649.2947
MEM 117.535156 1670554649.3964
MEM 117.535156 1670554649.5034
MEM 117.535156 1670554649.6037
MEM 117.535156 1670554649.7040
MEM 117.535156 1670554649.8043
MEM 117.535156 1670554649.9054
MEM 117.535156 1670554650.0057
MEM 117.535156 1670554650.1063
MEM 117.535156 1670554650.2066
MEM 117.535156 1670554650.3080
MEM 117.535156 1670554650.4104
MEM 117.535156 1670554650.5107
MEM 117.535156 1670554650.6125
MEM 117.535156 1670554650.7128
MEM 117.535156 1670554650.8147
MEM 117.535156 1670554650.9151
MEM 117.535156 1670554651.0166
MEM 117.535156 1670554651.1170
MEM 117.535156 1670554651.2173
MEM 117.535156 1670554651.3176
MEM 117.535156 1670554651.4210
MEM 117.535156 1670554651.5213
MEM 117.535156 1670554651.6217
MEM 117.535156 1670554651.7220
MEM 117.535156 1670554651.8223
MEM 117.535156 1670554651.9226
MEM 117.535156 1670554652.0230
MEM 117.535156 1670554652.1234
MEM 117.535156 1670554652.2237
MEM 117.535156 1670554652.3240
MEM 117.535156 1670554652.4243
MEM 117.535156 1670554652.5251
MEM 117.535156 1670554652.6255
MEM 117.535156 1670554652.7258
MEM 117.535156 1670554652.8261
MEM 117.535156 1670554652.9264
MEM 117.535156 1670554653.0268
MEM 117.535156 1670554653.1271
MEM 117.535156 1670554653.2274
MEM 117.535156 1670554653.3281
MEM 117.535156 1670554653.4284
MEM 117.535156 1670554653.5287
MEM 117.535156 1670554653.6292
MEM 117.535156 1670554653.7296
MEM 117.535156 1670554653.8302
MEM 117.535156 1670554653.9305
MEM 117.535156 1670554654.0308
MEM 117.535156 1670554654.1323
MEM 117.535156 1670554654.2326
MEM 117.535156 1670554654.3329
MEM 117.535156 1670554654.4333
MEM 117.535156 1670554654.5336
MEM 117.535156 1670554654.6339
MEM 117.535156 1670554654.7344
MEM 117.535156 1670554654.8357
MEM 117.535156 1670554654.9361
MEM 117.535156 1670554655.0365
MEM 117.535156 1670554655.1369
MEM 117.535156 1670554655.2372
MEM 117.535156 1670554655.3375
MEM 117.535156 1670554655.4379
MEM 117.535156 1670554655.5383
MEM 117.535156 1670554655.6386
MEM 117.535156 1670554655.7398
MEM 117.535156 1670554655.8402
MEM 117.535156 1670554655.9406
MEM 117.535156 1670554656.0409
MEM 117.535156 1670554656.1414
MEM 117.535156 1670554656.2417
MEM 117.535156 1670554656.3421
MEM 117.535156 1670554656.4424
MEM 117.535156 1670554656.5427
MEM 117.535156 1670554656.6430
MEM 117.535156 1670554656.7435
MEM 117.535156 1670554656.8440
MEM 117.535156 1670554656.9507
MEM 117.535156 1670554657.0511
MEM 117.535156 1670554657.1514
MEM 117.535156 1670554657.2518
MEM 117.535156 1670554657.3521
MEM 117.535156 1670554657.4530
MEM 117.535156 1670554657.5534
MEM 117.535156 1670554657.6590
MEM 117.535156 1670554657.7594
MEM 117.535156 1670554657.8611
MEM 117.535156 1670554657.9614
MEM 117.535156 1670554658.0627
MEM 117.535156 1670554658.1630
MEM 117.535156 1670554658.2633
MEM 117.535156 1670554658.3637
MEM 117.535156 1670554658.4640
MEM 117.535156 1670554658.5643
MEM 117.535156 1670554658.6690
MEM 117.535156 1670554658.7694
MEM 117.535156 1670554658.8697
MEM 117.535156 1670554658.9700
MEM 117.535156 1670554659.0704
MEM 117.535156 1670554659.1707
MEM 117.535156 1670554659.2710
MEM 117.535156 1670554659.3714
MEM 117.535156 1670554659.4717
MEM 117.535156 1670554659.5720
MEM 117.535156 1670554659.6723
MEM 117.535156 1670554659.7728
MEM 117.535156 1670554659.8732
MEM 117.535156 1670554659.9735
MEM 117.535156 1670554660.0739
MEM 117.535156 1670554660.1742
MEM 117.535156 1670554660.2745
MEM 117.535156 1670554660.3749
MEM 117.535156 1670554660.4752
MEM 117.535156 1670554660.5755
MEM 117.535156 1670554660.6758
MEM 117.535156 1670554660.7767
MEM 117.535156 1670554660.8771
MEM 117.535156 1670554660.9774
MEM 117.535156 1670554661.0778
MEM 117.535156 1670554661.1782
MEM 117.535156 1670554661.2785
MEM 117.535156 1670554661.3789
MEM 117.535156 1670554661.4793
MEM 117.535156 1670554661.5796
MEM 117.535156 1670554661.6799
MEM 117.535156 1670554661.7804
MEM 117.535156 1670554661.8807
MEM 117.535156 1670554661.9812
MEM 117.535156 1670554662.0816
MEM 117.535156 1670554662.1821
MEM 117.535156 1670554662.2836
MEM 117.535156 1670554662.3839
MEM 117.535156 1670554662.4842
MEM 117.535156 1670554662.5845
MEM 117.535156 1670554662.6849
MEM 117.535156 1670554662.7852
MEM 117.535156 1670554662.8855
MEM 117.535156 1670554662.9858
MEM 117.535156 1670554663.0873
MEM 117.535156 1670554663.1877
MEM 117.535156 1670554663.2914
MEM 117.535156 1670554663.3918
MEM 117.535156 1670554663.4922
MEM 117.535156 1670554663.5927
MEM 117.535156 1670554663.6930
MEM 117.535156 1670554663.7933
MEM 117.535156 1670554663.8937
MEM 117.535156 1670554663.9940
MEM 117.535156 1670554664.0944
MEM 117.535156 1670554664.1948
MEM 117.535156 1670554664.2951
MEM 117.535156 1670554664.3954
MEM 117.535156 1670554664.4960
MEM 117.535156 1670554664.5963
MEM 117.535156 1670554664.6967
MEM 117.535156 1670554664.7970
MEM 117.535156 1670554664.8974
MEM 117.535156 1670554664.9977
MEM 117.535156 1670554665.0980
MEM 117.535156 1670554665.1983
MEM 117.535156 1670554665.3021
MEM 117.535156 1670554665.4024
MEM 117.535156 1670554665.5027
MEM 117.535156 1670554665.6089
MEM 117.535156 1670554665.7092
MEM 117.535156 1670554665.8115
MEM 117.535156 1670554665.9119
MEM 117.535156 1670554666.0122
MEM 117.535156 1670554666.1125
MEM 117.535156 1670554666.2135
MEM 117.535156 1670554666.3139
MEM 117.535156 1670554666.4142
MEM 117.535156 1670554666.5145
MEM 117.535156 1670554666.6166
MEM 117.535156 1670554666.7169
MEM 117.535156 1670554666.8173
MEM 117.535156 1670554666.9189
MEM 117.535156 1670554667.0252
